Date,Jdays,pb_ave,pb_min,pb_max
30/09/2015,1,1.359822638,1.223840374,1.495804902
01/10/2015,2,1.359822638,1.223840374,1.495804902
02/10/2015,3,1.359822638,1.223840374,1.495804902
03/10/2015,4,1.359822638,1.223840374,1.495804902
04/10/2015,5,1.359822638,1.223840374,1.495804902
05/10/2015,6,1.359822638,1.223840374,1.495804902
06/10/2015,7,1.359822638,1.223840374,1.495804902
07/10/2015,8,1.359822638,1.223840374,1.495804902
08/10/2015,9,1.359822638,1.223840374,1.495804902
09/10/2015,10,1.359822638,1.223840374,1.495804902
10/10/2015,11,1.359822638,1.223840374,1.495804902
11/10/2015,12,1.359822638,1.223840374,1.495804902
12/10/2015,13,1.359822638,1.223840374,1.495804902
13/10/2015,14,1.359822638,1.223840374,1.495804902
14/10/2015,15,1.359822638,1.223840374,1.495804902
15/10/2015,16,1.359822638,1.223840374,1.495804902
16/10/2015,17,1.359822638,1.223840374,1.495804902
17/10/2015,18,1.359822638,1.223840374,1.495804902
18/10/2015,19,1.359822638,1.223840374,1.495804902
19/10/2015,20,1.359822638,1.223840374,1.495804902
20/10/2015,21,1.359822638,1.223840374,1.495804902
21/10/2015,22,1.359822638,1.223840374,1.495804902
22/10/2015,23,1.359822638,1.223840374,1.495804902
23/10/2015,24,1.359822638,1.223840374,1.495804902
24/10/2015,25,1.359822638,1.223840374,1.495804902
25/10/2015,26,1.359822638,1.223840374,1.495804902
26/10/2015,27,1.359822638,1.223840374,1.495804902
27/10/2015,28,1.359822638,1.223840374,1.495804902
28/10/2015,29,1.359822638,1.223840374,1.495804902
29/10/2015,30,1.359822638,1.223840374,1.495804902
30/10/2015,31,1.359822638,1.223840374,1.495804902
31/10/2015,32,1.359822638,1.223840374,1.495804902
01/11/2015,33,1.359822638,1.223840374,1.495804902
02/11/2015,34,1.359822638,1.223840374,1.495804902
03/11/2015,35,1.359822638,1.223840374,1.495804902
04/11/2015,36,1.359822638,1.223840374,1.495804902
05/11/2015,37,1.359822638,1.223840374,1.495804902
06/11/2015,38,1.359822638,1.223840374,1.495804902
07/11/2015,39,1.359822638,1.223840374,1.495804902
08/11/2015,40,1.359822638,1.223840374,1.495804902
09/11/2015,41,1.359822638,1.223840374,1.495804902
10/11/2015,42,1.359822638,1.223840374,1.495804902
11/11/2015,43,1.359822638,1.223840374,1.495804902
12/11/2015,44,1.359822638,1.223840374,1.495804902
13/11/2015,45,1.359822638,1.223840374,1.495804902
14/11/2015,46,1.359822638,1.223840374,1.495804902
15/11/2015,47,1.359822638,1.223840374,1.495804902
16/11/2015,48,1.359822638,1.223840374,1.495804902
17/11/2015,49,1.359822638,1.223840374,1.495804902
18/11/2015,50,1.359822638,1.223840374,1.495804902
19/11/2015,51,1.359822638,1.223840374,1.495804902
20/11/2015,52,1.359822638,1.223840374,1.495804902
21/11/2015,53,1.359822638,1.223840374,1.495804902
22/11/2015,54,1.359822638,1.223840374,1.495804902
23/11/2015,55,1.359822638,1.223840374,1.495804902
24/11/2015,56,1.359822638,1.223840374,1.495804902
25/11/2015,57,1.359822638,1.223840374,1.495804902
26/11/2015,58,1.359822638,1.223840374,1.495804902
27/11/2015,59,1.359822638,1.223840374,1.495804902
28/11/2015,60,1.359822638,1.223840374,1.495804902
29/11/2015,61,1.359822638,1.223840374,1.495804902
30/11/2015,62,1.359822638,1.223840374,1.495804902
01/12/2015,63,1.359822638,1.223840374,1.495804902
02/12/2015,64,1.359822638,1.223840374,1.495804902
03/12/2015,65,1.359822638,1.223840374,1.495804902
04/12/2015,66,1.359822638,1.223840374,1.495804902
05/12/2015,67,1.359822638,1.223840374,1.495804902
06/12/2015,68,1.359822638,1.223840374,1.495804902
07/12/2015,69,1.359822638,1.223840374,1.495804902
08/12/2015,70,1.359822638,1.223840374,1.495804902
09/12/2015,71,1.359822638,1.223840374,1.495804902
10/12/2015,72,1.359822638,1.223840374,1.495804902
11/12/2015,73,1.359822638,1.223840374,1.495804902
12/12/2015,74,1.359822638,1.223840374,1.495804902
13/12/2015,75,1.359822638,1.223840374,1.495804902
14/12/2015,76,1.359822638,1.223840374,1.495804902
15/12/2015,77,1.359822638,1.223840374,1.495804902
16/12/2015,78,1.359822638,1.223840374,1.495804902
17/12/2015,79,1.359822638,1.223840374,1.495804902
18/12/2015,80,1.359822638,1.223840374,1.495804902
19/12/2015,81,0.980149757,0.882134781,1.078164732
20/12/2015,82,0.980149757,0.882134781,1.078164732
21/12/2015,83,0.980149757,0.882134781,1.078164732
22/12/2015,84,0.980568612,0.882507187,1.07863105
23/12/2015,85,0.980568613,0.882507189,1.07863105
24/12/2015,86,0.980568613,0.882507189,1.07863105
25/12/2015,87,0.980987005,0.882879188,1.079096848
26/12/2015,88,0.981404933,0.883250778,1.079562125
27/12/2015,89,0.981404934,0.883250779,1.079562125
28/12/2015,90,0.981822397,0.883621956,1.080026883
29/12/2015,91,0.982239398,0.883992726,1.080491122
30/12/2015,92,0.98307201,0.884733037,1.081418045
31/12/2015,93,0.984731685,0.886208742,1.08326569
01/01/2016,94,0.993324685,0.893849553,1.092831519
02/01/2016,95,1.01698667,0.914892978,1.119168145
03/01/2016,96,1.023727095,0.920890832,1.12666637
04/01/2016,97,1.029242793,0.925800064,1.132800732
05/01/2016,98,1.031061901,0.927420055,1.134822782
06/01/2016,99,1.041409462,0.93663024,1.146330523
07/01/2016,100,1.04141066,0.936632397,1.146330523
08/01/2016,101,1.044902764,0.939741573,1.150213047
09/01/2016,102,1.051091634,0.945252308,1.157093218
10/01/2016,103,1.064895525,0.95754416,1.172438405
11/01/2016,104,1.066841466,0.959279335,1.174598705
12/01/2016,105,1.067165355,0.959568899,1.174957349
13/01/2016,106,1.07196287,0.963841994,1.180289209
14/01/2016,107,1.078235382,0.969428502,1.187260781
15/01/2016,108,1.07854539,0.969704649,1.187605288
16/01/2016,109,1.07854539,0.969704649,1.187605288
17/01/2016,110,1.07854539,0.969704649,1.187605288
18/01/2016,111,1.07854539,0.969704649,1.187605288
19/01/2016,112,1.07854539,0.969704649,1.187605288
20/01/2016,113,1.07854539,0.969704649,1.187605288
21/01/2016,114,1.083153807,0.973809336,1.192726964
22/01/2016,115,1.083154297,0.973810219,1.192726964
23/01/2016,116,1.083459035,0.974081873,1.193065367
24/01/2016,117,1.083459457,0.974082631,1.193065367
25/01/2016,118,1.083459938,0.974083498,1.193065367
26/01/2016,119,1.083459982,0.974083577,1.193065367
27/01/2016,120,1.087989468,0.978120428,1.198096307
28/01/2016,121,1.08799024,0.978121816,1.198096307
29/01/2016,122,1.093913248,0.983401142,1.204674417
30/01/2016,123,1.098559811,0.987545033,1.209832099
31/01/2016,124,1.098851273,0.987808417,1.210151403
01/02/2016,125,1.100286608,0.989090142,1.211742585
02/02/2016,126,1.10312951,0.991625331,1.214898407
03/02/2016,127,1.108444096,0.996364482,1.220798201
04/02/2016,128,1.10844608,0.996368051,1.220798201
05/02/2016,129,1.108447463,0.996370541,1.220798201
06/02/2016,130,1.11581002,1.002937459,1.228969594
07/02/2016,131,1.123739408,1.01001455,1.237764469
08/02/2016,132,1.140872867,1.025300882,1.256774784
09/02/2016,133,1.141117519,1.025522891,1.257041674
10/02/2016,134,1.141121019,1.025529192,1.257041674
11/02/2016,135,1.143751484,1.027878049,1.259957871
12/02/2016,136,1.147521967,1.031246327,1.264136149
13/02/2016,137,1.147757006,1.031457759,1.26439482
14/02/2016,138,1.147990507,1.031666656,1.264653202
15/02/2016,139,1.147990629,1.031666877,1.264653202
16/02/2016,140,1.147990657,1.031666927,1.264653202
17/02/2016,141,1.14799069,1.031666986,1.264653202
18/02/2016,142,1.148455903,1.032082271,1.2651691
19/02/2016,143,1.152369895,1.035577438,1.269508011
20/02/2016,144,1.15237252,1.035582163,1.269508011
21/02/2016,145,1.153511988,1.03660185,1.270768557
22/02/2016,146,1.161406968,1.043653526,1.279518798
23/02/2016,147,1.161626587,1.043851254,1.279760293
24/02/2016,148,1.161627551,1.043852988,1.279760293
25/02/2016,149,1.161627927,1.043853664,1.279760293
26/02/2016,150,1.161628332,1.043854394,1.279760293
27/02/2016,151,1.161628344,1.043854416,1.279760293
28/02/2016,152,1.161628344,1.043854416,1.279760293
29/02/2016,153,1.164653357,1.046556273,1.283113051
01/03/2016,154,1.174166838,1.05505585,1.293654338
