Transect,Date,theta_grav
N,05/04/2016,0.274021545
N,14/04/2016,0.224296814
N,18/04/2016,0.259032688
N,26/04/2016,0.226896491
N,03/05/2016,0.202462717
N,10/05/2016,0.16303301
N,17/05/2016,0.201935802
N,24/05/2016,0.249867808
N,31/05/2016,0.252989837
N,07/06/2016,0.143684227
N,14/06/2016,0.279416377
N,21/06/2016,0.343349507
N,28/06/2016,0.182112126
N,05/07/2016,0.078373711
N,12/07/2016,0.139335388
S,05/04/2016,0.296555693
S,14/04/2016,0.223266997
S,18/04/2016,0.254606004
S,26/04/2016,0.225198634
S,03/05/2016,0.264876035
S,10/05/2016,0.166415553
S,17/05/2016,0.348172402
S,24/05/2016,0.263077856
S,31/05/2016,0.2679556
S,07/06/2016,0.213637175
S,14/06/2016,0.268748511
S,21/06/2016,0.287285103
S,28/06/2016,0.177200318
S,05/07/2016,0.080317719
S,12/07/2016,0.139335388
T,05/04/2016,0.30167024
T,14/04/2016,0.239027083
T,18/04/2016,0.300439701
T,26/04/2016,0.233754647
T,03/05/2016,0.24873962
T,10/05/2016,0.178429983
T,17/05/2016,0.256887947
T,24/05/2016,0.27015789
T,31/05/2016,0.293286517
T,07/06/2016,0.178221543
T,14/06/2016,0.303820501
T,21/06/2016,0.327852004
T,28/06/2016,0.20190814
T,05/07/2016,0.101318778
T,12/07/2016,0.130625494
